Toidu nimi (EST),"Energia (sh kiudained), kcal","Süsivesikud, imenduvad, g","Rasvad, g","Valgud, g","Alkohol, g","Vesi, g","Tuhk, g","Süsivesikud, kokku, g","Kiudained, g","Tärklis, g","Suhkrud, kokku, g","Sahharoos, g","Laktoos, g","Maltoos, g","Glükoos, g","Fruktoos, g","Galaktoos, g","Rasvhapped, kokku, g","Küllastunud rasvhapped, g","Monoküllastumata rasvhapped, g","Polüküllastumata rasvhapped, g","Trans-rasvhapped, g","Palmitiinhape (C16), g","Steariinhape (C18), g","Linoolhape (C18:2), g","Linoleenhape (C18:3), g","Kolesterool, mg","Naatrium, mg","Kaalium, mg","Kaltsium, mg","Magneesium, mg","Fosfor, mg","Raud, mg","Tsink, mg","Vask, mg","Mangaan, mg","Jood, µg","Seleen, µg","Kroom, µg","Nikkel, µg","Vitamiin A, RE","Retinool, µg","Beeta-karoteeni ekvivalent, BCE","Vitamiin D, µg","Vitamiin D3, µg","Vitamiin E, ?TE","Vitamiin K, µg","Vitamiin B1, mg","Vitamiin B2, mg","Niatsiini ekvivalent, kokku, NE","Niatsiin, mg","Niatsiini ekviv. trüptofaanist, mg","Pantoteenhape, mg","Vitamiin B6, mg","Biotiin, µg","Folaadid, µg","Vitamiin B12, µg","Vitamiin C, mg","Soola ekvivalent, g"
"Kõrvitsa-pähklisalat, meega",117.7050018,12.69499969,6.164999962,1.897500038,0,75.87400055,0.578499973,14.61999989,1.924999952,0.262499988,12.11499977,1.414999962,0,0,4.934999943,5.764999866,0,5.896999836,0.469999999,4.820000172,0.564999998,0,0.317999989,0.143000007,0.555000007,0,0,1.534999967,214.6499939,28.79999924,23,43.75,0.805000007,0.239999995,0.180000007,0.769500017,0.689999998,0.365999997,1.725000024,18.43499947,40.69100189,0,488.3250122,0,0,2.739500046,2.640000105,0.070500001,0.063000001,0.707499981,0.280000001,0.42750001,0.392500013,0.097499996,8.100000381,26.39999962,0,6.056250095,0.0038375
Kõrvitsa-pähklisalat päevalilleseemnete ja meega,53.25799942,7.927499771,1.447999954,1.11074996,0,86.96350098,0.45570001,9.963999748,2.036499977,0.252499998,7.72424984,1.664999962,0,0,2.298749924,3.759249926,0,1.372300029,0.140000001,0.44749999,0.74000001,0,0.055,0.0425,0.74000001,0,0,1.574000001,345.8500061,21.11899948,19.01250076,37.80749893,0.590399981,0.233600006,0.087580003,0.075400002,0.279000014,1.475499988,1.577999949,9.988499641,41.50600052,0,498.144989,0,0,1.488049984,1.364500046,0.069049999,0.065750003,0.518999994,0.284000009,0.229000002,0.300799996,0.079850003,0.620500028,27.70000076,0,7.346250057,0.003935
"Kõrvitsa-õuna-rosinasalat, mahlaga",60.82580185,13.54850006,0.081200004,0.540000021,0,83.53299713,0.583000004,15.41899967,1.870499969,0.391499996,12.56649971,5.886000156,0,0,2.910000086,3.770499945,0,0.0535,0.00675,0.00625,0,0,0,0,0,0,0,2.133500099,178.798996,21.74200058,8.949000359,16.35350037,0.577549994,0.042149998,0.062150002,0.118000001,4.605000019,0.1655,2,1.373000026,40.73070145,0,488.7850037,0,0,0.732500017,2.11500001,0.028100001,0.045200001,0.308499992,0.183500007,0.125,0.243799999,0.060800001,0.620000005,19.47500038,0,4.109250069,0.00533375
"Porgandi-pirni-paprikasalat, mahlaga",34.59999847,6.429999828,0.119999997,0.555000007,0,87.84999847,0.43900001,9.220000267,2.789999962,0.079999998,6.329999924,1.49000001,0,0,1.850000024,2.99000001,0,0.071999997,0,0,0.059999999,0,0,0,0.059999999,0,0,10.77999973,235.0700073,17.20000076,10.51000023,24.59000015,0.331999987,0.430000007,0.074000001,0.194999993,0.829999983,0.180000007,1.419999957,6.809000015,315.2579956,0,3783.399902,0,0,0.726999998,9.199999809,0.039000001,0.045000002,0.651000023,0.58099997,0.07,0.167999998,0.093000002,2.019999981,16.80999947,0,28.51499939,0.02695
"Porgandi-rohelise sibula salat, õliga",86.13999939,6.635000229,5.409999847,1.419999957,0,82.44999695,1.039999962,9.020000458,2.38499999,0.129999995,5.724999905,3.00999999,0,0,1.379999995,1.335000038,0,5.227000237,0.393000007,3.20600009,1.743000031,0,0.239999995,0.0845,1.085999966,0.486999989,0,102.6500015,365.75,50.54999924,17.45000076,43.84999847,0.970000029,0.620000005,0.086000003,0.486000001,5.599999905,0.159999996,1.600000024,10.30000019,545.5440063,0,6555.169922,0,0,2.099999905,17,0.079499997,0.096000001,0.954999983,0.709999979,0.050000001,0.248999998,0.092,1.889999986,25.5,0,24.375,0.256624997
"Põngerjate lemmiksalat (Hiina kapsas, porgand, mandariin, maisikonserv, õlikaste)",84.84700012,9.325499535,4.274000168,1.550500035,0,81.97399902,0.629499972,10.76399994,1.438500047,1.832000017,6.46999979,4.5,0,0,1.098500013,0.871500015,0,4.033299923,0.639999986,1.440000057,1.940000057,0,0.446500003,0.120499998,1.75,0.136500001,0,97.07299805,189.996994,27.91449928,15.18550014,39.17200089,0.377400011,0.374500006,0.01701,0.129999995,0.939999998,0.103500001,0.583000004,1.891000032,122.3349991,0,1468.390015,0,0,1.542999983,30.85000038,0.049199998,0.0502,0.92900002,0.749000013,0.104000002,0.116499998,0.120800003,0.598500013,32.54499817,0,12.35849953,0.242682993
Sügisesalat,93.77739716,5.023799896,7.373799801,0.709599972,0,82.625,0.527499974,7.263599873,2.239799976,0.056600001,5.12319994,1.199399948,0,0,1.696400046,2.227400064,0,6.989500046,1.051800013,2.549599886,3.380300045,0,0.747200012,0.218199998,3.167700052,0.185299993,0,25.09000015,246.4550018,23.48730087,10.96430016,27.76919937,0.343800008,0.296000004,0.038198002,0.193700001,1.827499986,0.662599981,1.183200002,4.229599953,159.0659943,0,1908.890015,0,0,2.693700075,25.64999962,0.050799999,0.0436,0.633000016,0.475699991,0.155499995,0.172000006,0.118500002,1.486400008,17.52599907,0,28.56710052,0.062725
"Tervisesalat, hapukoorega",62.82799911,3.980000019,4.412000179,1.159999967,0,87.83999634,0.481999993,5.260000229,1.279999971,0.059999999,4.179999828,1.100000024,0.75999999,0,0.920000017,1.399999976,0,4.360000134,3.092000008,1.065999985,0.165999994,0.050000001,1.266000032,0.467999995,0.119999997,0.048,10.15999985,19.54000092,243.5399933,40.43999863,13.10000038,39.45999908,0.335999995,0.379999995,0.030400001,0.153999999,1.210000038,0.689999998,0.920000017,1.600000024,214.2050018,38,2114.800049,0,0,0.321999997,29.15999985,0.046999998,0.066,0.524999976,0.305000007,0.219999999,0.222000003,0.033,1.899999976,18.02000046,0.059999999,3.779999971,0.04885
Väike salat suurest kalast (tuunikala-köögiviljasalat õliga),96.02200317,1.131000042,6.43599987,8.012000084,0,82.5759964,0.854399979,1.894000053,0.763000011,0.01,1.095999956,0.048999999,0,0,0.499000013,0.547999978,0,6.132800102,0.699199975,3.602299929,1.820299983,0,0.449200004,0.157499999,1.120000005,0.417800009,53.5,170.4100037,280.1000061,28.65500069,18.30999947,88.86000061,0.981599987,1.059999943,0.02942,0.166600004,3.736999989,12.51900005,3.013999939,24.95400047,36.06110001,27.79999924,99.58499908,1.014999986,0.289999992,1.739599943,9.876000404,0.051100001,0.080849998,5.118000031,3.502500057,0.395000011,0.297399998,0.118299998,2.867000103,30.95499992,0.754999995,11.0152998,0.426025003
Hapukapsapüreesupp,132.2649994,2.450000048,12.82499981,1.274999976,0,80.46499634,1.394999981,3.420000076,0.970000029,0.07,2.355000019,0.419999987,1.014999986,0,0.579999983,0.340000004,0,11.97000027,8.324999809,3.349999905,0.36500001,0.560000002,3.640000105,1.36500001,0.254999995,0.07,39.57249832,233.5,184.1999969,44.52999878,9.010000229,35.76499939,0.504999995,0.289999992,0.063000001,0.098499998,4.349999905,0.352499992,2.355000019,3.285000086,194.3300018,111.6500015,992.5999756,0.07,0.07,0.354999989,28.45000076,0.01785,0.049874999,0.376125008,0.148750007,0.264999986,0.156000003,0.042800002,1.047999978,14.25,0.07,3.325000048,0.58375001
