Toidu nimi (EST),"Energia (sh kiudained), kcal","Süsivesikud, imenduvad, g","Rasvad, g","Valgud, g","Alkohol, g","Vesi, g","Tuhk, g","Süsivesikud, kokku, g","Kiudained, g","Tärklis, g","Suhkrud, kokku, g","Sahharoos, g","Laktoos, g","Maltoos, g","Glükoos, g","Fruktoos, g","Galaktoos, g","Rasvhapped, kokku, g","Küllastunud rasvhapped, g","Monoküllastumata rasvhapped, g","Polüküllastumata rasvhapped, g","Trans-rasvhapped, g","Palmitiinhape (C16), g","Steariinhape (C18), g","Linoolhape (C18:2), g","Linoleenhape (C18:3), g","Kolesterool, mg","Naatrium, mg","Kaalium, mg","Kaltsium, mg","Magneesium, mg","Fosfor, mg","Raud, mg","Tsink, mg","Vask, mg","Mangaan, mg","Jood, µg","Seleen, µg","Kroom, µg","Nikkel, µg","Vitamiin A, RE","Retinool, µg","Beeta-karoteeni ekvivalent, BCE","Vitamiin D, µg","Vitamiin D3, µg","Vitamiin E, ?TE","Vitamiin K, µg","Vitamiin B1, mg","Vitamiin B2, mg","Niatsiini ekvivalent, kokku, NE","Niatsiin, mg","Niatsiini ekviv. trüptofaanist, mg","Pantoteenhape, mg","Vitamiin B6, mg","Biotiin, µg","Folaadid, µg","Vitamiin B12, µg","Vitamiin C, mg","Soola ekvivalent, g"
"Aedoad, värsked",27.29999924,3.400000095,0.100000001,1.700000048,0,91,0.699999988,6.400000095,3,1,2.400000095,0.400000006,0,0,0.800000012,1.200000048,0,0.079999998,0,0,0.059999999,0,0,0,0,0,0,0,284,51,26,40,1.200000048,0.400000006,0.07,0.25,0.699999988,0.300000012,1.200000048,14,9,0,110,0,0,0.100000001,47,0.050000001,0.059999999,1.100000024,0.699999988,0.400000006,0.5,0.100000001,7,57,0,18,0
"Aedoad, keedetud",28.11899948,3.502000093,0.103,1.751000047,0,90.73000336,0.721000016,6.592000008,3.089999914,1.029999971,2.471999884,0.412,0,0,0.824000001,1.235999942,0,0.061799999,0,0,0.061799999,0,0,0,0,0,0,0,292.519989,52.52999878,26.78000069,41.20000076,1.235999942,0.412,0.072099999,0.257499993,0.721000016,0.308999985,1.235999942,14.42000008,9.403900146,0,113.3000031,0,0,0.103,48.40999985,0.036049999,0.046349999,0.963050008,0.61285001,0.412,0.412,0.082400002,5.768000126,44.03250122,0,9.270000458,0
Agar-agar,160.1000061,0,0.300000012,2.299999952,0,19.89999962,3.200000048,74.09999847,74.09999847,0,0,,0,,,,,0.159999996,0.059999999,0,0.100000001,0,0.059999999,0,0,0,0,130,52,660,100,34,4.5,1.5,0,3.190000057,36000,0,,200,0,0,0,0,0,0,0,0.01,0,0.400000006,0.100000001,0,0.460000008,0,0,0,0,0,0.324999988
"Ahven, värske ",84.59999847,0,0.600000024,19.79999924,0,78.59999847,1,0,0,0,0,0,0,0,0,0,0,0.400000006,0.100000001,0.100000001,0.200000003,0,0.100000001,0,0,0,92,33,389,16,27,219,0.239999995,0.519999981,0,0.059999999,8,28,8.600000381,8,15,15,0,8,8,0.74000001,0,0.150000006,0.109999999,8.899999619,5.300000191,3.599999905,0.360000014,0.469999999,5,12,3.5,0,0.082500003
Ananass ,46.20000076,10.10000038,0.200000003,0.400000006,0,86.5,0.400000006,11.30000019,1.200000048,0,10,5.5,0,0,2,2.5,0,0.100000001,0,0,0.100000001,0,0,0,0,0,0,2,160,18,16,10,0.200000003,0.100000001,0.109999999,0.5,0,0,11,16,1.493999958,0,18,0,0,0.100000001,0.209999993,0.079999998,0.029999999,0.400000006,0.300000012,0.100000001,0.159999996,0.090000004,0.300000012,5,0,12,0.005
"Ananass, konserveeritud, vedelikuta",60.40000153,14.39999962,0,0.400000006,0,84.5,0.300000012,15,0.600000024,0,14.39999962,5,0,0,5,4.400000095,0,0,0,0,0,0,0,0,0,0,0,1.5,75,7,12,5,0.349999994,0.100000001,0,0.899999976,0,0,4,15,0.995999992,0,12,0,0,0.059999999,0.699999988,0.079999998,0.01,0.300000012,0.200000003,0.100000001,0.090000004,0.079999998,0.100000001,1,0,12,0.00375
"Angerjas, värske ",367,0,33,17.5,0,51.5,0.899999976,0,0,0,0,0,0,0,0,0,0,29.70000076,7.900000095,14.39999962,7.400000095,0,5.5,1.299999952,0.699999988,0.300000012,62.90000153,84,280,43,26,390,1,2.700000048,0,0,60,57,1.200000048,0.170000002,2500,2500,0,30,30,8,0,0.059999999,0.25,5.300000191,2.599999905,2.700000048,0.140000001,0.379999995,,12,4.400000095,0,0.209999993
Annoona,66.90000153,13.39999962,0.300000012,1.5,0,74.09999847,0.800000012,15.69999981,2.299999952,1.700000048,11.69999981,0.600000024,0,0,5.400000095,5.699999809,0,0.200000003,0.100000001,0,0.100000001,0,0,0,0,0.100000001,0,8,250,13,17,32,0.400000006,0.119999997,0.090000004,0.079999998,,1,,,0.207499996,0,2.5,0,0,0.270000011,,0.090000004,0.109999999,1.100000024,0.600000024,0.5,0.349999994,0.25999999,,23,0,15,0.02
Apelsin,42.70000076,8.5,0.100000001,1.100000024,0,86.09999847,0.5,10.19999981,1.700000048,0,8.199999809,4,0,0,2,2.200000048,0,0.059999999,0,0,0,0,0,0,0,0,0,5,150,47,10,21,0.100000001,0.100000001,0,0,2,1.200000048,1,3.599999905,3.901000023,0,47,0,0,0.239999995,0,0.109999999,0.039999999,0.5,0.400000006,0.100000001,0.370000005,0.100000001,1,31,0,54,0.0125
"Apelsin, koorega",30.10000038,5.900000095,0.100000001,0.800000012,0,60.29999924,0.400000006,7.099999905,1.200000048,0,5.900000095,2.700000048,0,0,1.5,1.700000048,0,0.059999999,0,0,0,0,0,0,0,0,0,3,110,33,7,15,0.100000001,0.100000001,0,0,1,0.800000012,0.699999988,2.5,2.739000082,0,33,0,0,0.170000002,0.079999998,0.079999998,0.029999999,0.400000006,0.300000012,0.100000001,0.25999999,0.07,0.699999988,22,0,38,0.0075
Apelsinikoor,86.59999847,14.39999962,0.200000003,1.5,0,72.5,0.800000012,25,10.60000038,,0,,0,,,,,0.100000001,0,0,0,0,0,0,0,0,0,3,212,161,22,21,0.800000012,0.25,0.090000004,,,1,,,21,0,250,0,0,0.25,,0.119999997,0.090000004,1.200000048,0.899999976,0.300000012,0.49000001,0.180000007,,30,0,136,0.0075
Aprikoos ,36.70000076,7.199999809,0.100000001,0.899999976,0,87.19999695,0.699999988,8.899999619,1.700000048,0,7.099999905,4.599999905,0,0,1.600000024,0.899999976,0,0.07,0,0,0,0,0,0,0,0,0,2,270,15,11,20,0.5,0.100000001,0.059999999,0.100000001,0.5,1.299999952,12,17,33.61500168,0,405,0,0,0.75,3.299999952,0.039999999,0.050000001,0.600000024,0.5,0.100000001,0.239999995,0.079999998,,5,0,6,0.005
"Aprikoos, konserveeritud, siirupis, vedelikuta",68.69999695,16.10000038,0.100000001,0.400000006,0,80,0.379999995,17,0.899999976,0,16.20000076,3.700000048,0,0,6.699999809,5.800000191,0,0,0,0,0,0,0,0,0,0,0,10,150,19,5,8,0.200000003,0.100000001,0,0,7,0,12,10,67.23000336,0,810,0,0,0.899999976,3,0.01,0.01,0.400000006,0.300000012,0.100000001,0.059999999,0.059999999,0.400000006,2,0,5,0.025
"Aprikoos, kuivatatud",256.1000061,53.79999924,0.699999988,4.800000191,0,24,3.5,61.5,7.699999809,0,43.40000153,12.60000038,0,0,20.79999924,10,0,0.300000012,0,0.100000001,0.100000001,0,0,0,0.100000001,0,0,56,1880,92,65,120,4.099999905,0.699999988,0.400000006,0.400000006,2.700000048,7,80,120,53.53499985,0,645,0,0,4,3.099999905,0,0.200000003,3.599999905,3,0.600000024,0.699999988,0.170000002,1.899999976,14,0,0,0.140000001
Arbuus ,33.29999924,7.099999905,0.300000012,0.5,0,92.30000305,0.400000006,7.199999809,0.100000001,0,7,3.400000095,0,0,1.299999952,2.299999952,0,0.200000003,0,0.100000001,0.100000001,0,0,0,0.100000001,0,0,2,100,7,8,9,0.300000012,0.200000003,0,0,0,0,0,14,9.628000259,0,116,0,0,0.100000001,0.300000012,0.050000001,0.01,0.100000001,0.100000001,0,0.209999993,0.140000001,1,2,0,8,0.005
"Arbuus, koorega",19.20000076,4,0.200000003,0.300000012,0,52.59999847,0.200000003,4.099999905,0.100000001,0,3.900000095,1.899999976,0,0,0.699999988,1.299999952,0,0.100000001,0,0,0.100000001,0,0,0,0.100000001,0,0,1,57,4,5,5,0.200000003,0.100000001,0,0,0,0,0,8,5.478000164,0,66,0,0,0.059999999,0.170000002,0.029999999,0.01,0.100000001,0.100000001,0,0.119999997,0.079999998,0.600000024,1,0,5,0.0025
Avokaado ,200.3000031,1.899999976,19.5,1.899999976,0,72.5,1.399999976,6.699999809,4.800000191,0,0.600000024,0.100000001,0,0,0.300000012,0.100000001,0.100000001,18.20000076,2.799999952,13,2.400000095,0,2.700000048,0.100000001,2.200000048,0.200000003,0,6,450,11,25,39,0.400000006,0.400000006,0.189999998,0.200000003,2,0,0.699999988,60,1.327999949,0,16,0,0,3.200000048,19,0.100000001,0.180000007,1.399999976,1.100000024,0.300000012,1.100000024,0.360000014,3.599999905,11,0,6,0.015
Baklažaan,21,3.099999905,0.200000003,0.5,0,93.5,0.5,5.5,2.400000095,0.200000003,2.900000095,0.300000012,0,0,1.299999952,1.299999952,0,0.129999995,0,0,0.079999998,0,0,0,0.059999999,0,0,2,305,18,16,30.29999924,0.370000005,0.140000001,0.090000004,0.109999999,0.800000012,0.200000003,0.699999988,0.400000006,0.300000012,0,3.599999905,0,0,0.100000001,6,0.039999999,0.029999999,0.899999976,0.600000024,0.300000012,0.230000004,0.100000001,2.299999952,27,0,5,0.005
"Bambusevõrsed, konserveeritud, vedelikuta",14,0.699999988,0.200000003,1.5,0,95.5,0.200000003,2.400000095,1.700000048,0,0.300000012,0.300000012,0,0,,,0,0.200000003,0.100000001,0,0.100000001,0,0,0,0.079999998,0,0,4,530,13,3,39,0.400000006,0.649999976,0.109999999,0.157000005,,0.5,,,0.829999983,0,10,0,0,0.629999995,0,0.090000004,0.059999999,0.5,0.5,,0.092,0.140000001,,3,0,0,0.01
Banaan,90.90000153,20.29999924,0.300000012,1.200000048,0,75.09999847,0.800000012,21.39999962,1.100000024,2.299999952,13.5,6.400000095,0,0,4.400000095,2.700000048,0,0.200000003,0.100000001,0,0.100000001,0,0.100000001,0,0,0,0,1,400,6,34,28,0.300000012,0.200000003,0.100000001,0.400000006,8,1.399999976,2,10,1.743000031,0,21,0,0,0.270000011,0.059999999,0.039999999,0.059999999,0.899999976,0.699999988,0.200000003,0.360000014,0.289999992,2.599999905,14,0,11,0.0025
"Banaan, koorega",67.59999847,15.30000019,0.200000003,0.800000012,0,49.59999847,0.5,16,0.699999988,1.5,13.80000019,7.300000191,0,0,3.200000048,3.299999952,0,0.100000001,0.100000001,0,0,0,0.100000001,0,0,0,0,1,270,4,22,18,0.200000003,0.100000001,0.07,0.300000012,5,0.899999976,1.299999952,6.599999905,1.161999941,0,14,0,0,0.180000007,0,0.029999999,0.039999999,0.600000024,0.5,0.100000001,0.239999995,0.189999998,1.700000048,9,0,7,0.0025
"Banaan, kuivatatud",272.7999878,60.20000076,1,3,0,28,2.299999952,65.69999695,5.5,16.5,0,,0,,,,,0.699999988,0.400000006,0.100000001,0.200000003,0,0.300000012,0,0.100000001,0.100000001,0,8,1150,20,90,75,1.299999952,0.5,0.400000006,3.299999952,3,0.899999976,,,8.300000191,0,100,0,0,0.600000024,,0.100000001,0.180000007,2,2,,0.5,1.299999952,,70,0,4,0.02
Barbeque kaste,145,33,0.400000006,0.600000024,0,70,3.099999905,34.20000076,1.200000048,0,25.20000076,17.10000038,0,0,4.300000191,3.799999952,,0.119999997,0.079999998,0.039999999,0.200000003,,0.059999999,0.01,0.170000002,0.02,0,860,400,28,18,40,1,0.200000003,0.150000006,0.159999996,45,0.600000024,5,30,415,0,5000,0,,2.299999952,,0.039999999,0.050000001,0.800000012,0.600000024,,0.439999998,0.129999995,1.5,5,0,0,2.150000095
"Maguskartul, keedetud soolata",117.8320007,24.82299995,0.617999971,1.648000002,0,68.27600098,1.133000016,28.01600075,3.193000078,20.08499908,4.737999916,3.296000004,0,0,0.824000001,0.617999971,0,0.40169999,0.226600006,0,0.175099999,0,0.226600006,0,0.164800003,0,0,4.119999886,370.7999878,22.65999985,18.54000092,40.16999817,0.679799974,0.40169999,0.133900002,0.247199997,2.471999884,1.853999972,0,0,675.3709717,0,8137,0,0,0.267800003,1.853999972,0.02472,0.02575,0.793099999,0.432599992,0.514999986,0.51293999,0.166859999,2.657399893,6.179999828,0,7.724999905,0.0103
"Maguskartul, toores",114.4000015,24.10000038,0.600000024,1.600000024,0,69.19999695,1.100000024,27.20000076,3.099999905,19.5,4.599999905,3.200000048,0,0,0.800000012,0.600000024,0,0.400000006,0.219999999,0,0.170000002,0,0.219999999,0,0.159999996,0,0,4,360,22,18,39,0.660000026,0.389999986,0.129999995,0.239999995,2.400000095,1.799999952,,,655.7000122,0,7900,0,0,0.25999999,1.799999952,0.059999999,0.050000001,1.100000024,0.600000024,0.5,0.829999983,0.270000011,4.300000191,12,0,30,0.01
Besee,388,92.40000153,0,4.599999905,0,3,0.5,92.40000153,0,0,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,64,6,4,5,0,0,0.059999999,0,2,9,1,2.400000095,0,0,0,0,0,0,0.460000008,0,0.159999996,0.800000012,0,0.800000012,0.129999995,0,4.099999905,1,0,0,0.174999997
"Biskviitpõhi kakaoga, küpsetatud",325,56.40000153,5.46999979,9.5,0,32.5,0.816999972,57.90000153,1.470000029,20.89999962,35.59719849,35.5,0,0,0.032400001,0.064800002,,3.819999933,1.639999986,2.180000067,0.737999976,,1.110000014,0.507000029,0.558000028,0.0451,172,72.30000305,172,33.5,26.5,148,3.220000029,1,0.230000004,0.201000005,90,20,2.900000095,46,102.4899979,102,5.900000095,0.629999995,,1,,0.119999997,0.159999996,2.599999905,0.319999993,,0.790000021,0.066,8.199999809,22,1.100000024,0,0.180749997
"Biskviitpõhi, küpsetatud",314.75,58.20000076,4.809999943,9.039999962,0,32.79999924,0.587000012,59.40000153,1.25,22.60000038,35.60739899,35.5,0,0,0.035799999,0.071599998,,3.180000067,1.230000019,1.950000048,0.741999984,,0.933000028,0.270999998,0.559000015,0.047400001,172,71.69999695,112,30.10000038,13.30000019,130,2.980000019,0.912,0.109999999,0.191,90,20,0.939999998,4.699999809,102.4899979,102,5.900000095,0.629999995,,1,,0.189999998,0.219999999,3.099999905,0.340000004,,0.970000029,0.082000002,9.600000381,29,1.100000024,0,0.179250002
"Biskviittaigen kakaoga, küpsetamata",279,48.5,4.710000038,8.170000076,0,32.5,0.702000022,49.79999924,1.25999999,18,30.58370018,30.5,0,0,0.027899999,0.055799998,,3.289999962,1.409999967,1.879999995,0.63499999,,0.952000022,0.43599999,0.479999989,0.038800001,148,62.09999847,148,28.79999924,22.79999924,128,2.769999981,0.862999976,0.200000003,0.172000006,77,17,2.5,39,88.12159729,87.69999695,5.079999924,0.540000021,,0.879999995,,0.150000006,0.189999998,2.700000048,0.330000013,,0.850000024,0.07,8.800000191,25,0.959999979,0,0.155249998
"Biskviittaigen, küpsetamata",278,50,4.139999866,7.78000021,0,32.79999924,0.504999995,51.09999847,1.080000043,19.39999962,30.56150055,30.5,0,0,0,0.061500002,,2.730000019,1.049999952,1.679999948,0.638000011,,0.801999986,0.232999995,0.481000006,0.040800001,148,61.70000076,96.5,25.89999962,11.5,112,2.559999943,0.785000026,0.092,0.164000005,78,17,0.810000002,4.099999905,88.12159729,87.69999695,5.079999924,0.540000021,,0.889999986,,0.159999996,0.189999998,2.700000048,0.300000012,,0.829999983,0.071000002,8.300000191,25,0.959999979,0,0.154249996
"Kanarinnak, nahaga, toores, tüüp 'Tallegg'",120.1999969,0.300000012,3.799999952,21.20000076,0,72,1.299999952,0.300000012,0,0.100000001,0.200000003,,,,,,,3.799999952,1.200000048,1.730000019,0.870000005,0,0.800000012,0.200000003,0.699999988,0,69,80,371,11,27,198,0.899999976,0.800000012,0,0,5,5,3.799999952,4,24,24,0,0.400000006,,0.600000024,0,0.189999998,0.150000006,16,12,3.900000095,0.839999974,0.819999993,2,11,0.280000001,0,0.200000003
"Kanakoib, nahata, kondiga, toores",77,0,2.200000048,14.30000019,0,43.20000076,0.600000024,0,0,0,0,0,0,0,0,0,0,1.799999952,0.600000024,0.699999988,0.5,0,0.400000006,0.100000001,0.400000006,0,60,51,222,4,14,63,0.460000008,1,0,0,3.400000095,8,1.600000024,2.200000048,11.39999962,11.39999962,0,0.059999999,,0.100000001,0,0.079999998,0.119999997,5.5,3.200000048,2.299999952,0.629999995,0.159999996,1.700000048,5.099999905,0.569999993,0,0.127499998
"Brokoli, külmutatud",30.70000076,2.349999905,0.340000004,3.059999943,0,90.59999847,0.699999988,5.349999905,3,0.100000001,1.5,0.200000003,0,0,0.5,0.800000012,0,0.238000005,0,0,0.162,0,0,0,0,0.125,0,17,250,41,16,59,0.720000029,0.340000004,0,0.256000012,2,1.899999976,,,33,0,400,0,0,1.399999976,100,0.071999997,0.109999999,1.100000024,0.5,0.600000024,0.239999995,0.170000002,,94,0,68.30000305,0.0425
"Kuskuss, keedetud",164,34.70000076,0.800000012,3.799999952,0,62.09999847,0.300000012,36.09999847,1.399999976,34.59999847,0,,0,,,,,0.600000024,0.200000003,0.100000001,0.300000012,0,0.100000001,0,0.300000012,0,0,73,104,15.19999981,17.5,113,0.699999988,0.560000002,0.150000006,0.330000013,1.799999952,28,,,0,0,0,0,0,0.039999999,0.100000001,0.150000006,0.039999999,2.599999905,1.799999952,0.800000012,0.230000004,0.140000001,,30,0,0,0.182500005
"Datlid, kuivatatud",295,68,0.200000003,3.299999952,0,14.60000038,1.799999952,72,4,0,68,0,0,0,35.40000153,32.59999847,0,0,0,0,0,0,0,0,0,0,0,10,700,45,41,60,1.299999952,0.400000006,0.25999999,0.300000012,1,2,29,33,3.319999933,0,40,0,0,0.050000001,2.700000048,0.07,0.090000004,3.299999952,1.799999952,1.5,0.779999971,0.189999998,0,13,0,0,0.025
Datlid,135.6999969,31.29999924,0.100000001,1.5,0,60.70000076,0.74000001,33.09999847,1.799999952,0,31.29999924,0,0,0,16.20000076,15.10000038,0,0.079999998,0,0,0,0,0,0,0,0,0,7,410,24,24,28,0.300000012,0.200000003,0.119999997,0.200000003,0.829999983,1,37,15,1.493999958,0,18,0,0,,5.599999905,0.059999999,0.07,1.399999976,0.699999988,0.699999988,0.209999993,0.119999997,0,25,0,14,0.0175
Hurmaa,80.80000305,18.60000038,0,0.800000012,0,79.90000153,0.699999988,20.20000076,1.600000024,0,18.60000038,0,0,0,9.300000191,9.300000191,0,0,0,0,0,0,0,0,0,0,0,5,210,10,11,19,0.100000001,0.100000001,0.100000001,0.300000012,0.800000012,0.600000024,,22,78.84999847,0,950,0,0,0.730000019,2.599999905,0.029999999,0.050000001,0.5,0.300000012,0.200000003,,0.100000001,,7,0,19,0.0125
"Dipikaste, R 18,5%, küüslaugu-juustu, tüüp 'Tere'",175.0800018,5.199999809,16,2.5,0,71.19999695,1.450000048,5.340000153,0.140000001,1.100000024,4.099999905,2.829999924,1.25999999,0,0.015,0.015,,16,8.699999809,6.539999962,0.75999999,,5.21999979,1.730000019,0.389999986,0.090000004,57.09999847,432,103,77.40000153,10,70.69999695,0.079999998,0.25999999,0.180000007,0.029999999,30,1.100000024,1.5,3.200000048,146.423996,140,77.40000153,0.119999997,,0.310000002,,0.029999999,0.150000006,0.439999998,0.079999998,,0.170000002,0.029999999,0.469999999,2.099999905,0.25999999,0.649999976,1.080000043
"Dipikaste, R 19,5%, tzatziki, tüüp 'Tere'",169.3800049,4,16,2.299999952,0,72.69999695,1.429999948,4.090000153,0.090000004,1.100000024,2.900000095,1.769999981,1.120000005,0,0.006,0.006,,15.97000027,8.600000381,6.599999905,0.769999981,,5.5,1.820000052,0.400000006,0.100000001,60.29999924,425,103,76.09999847,9.949999809,69,0.059999999,0.239999995,0.180000007,0.02,30,1,1.5,3.099999905,154.7890015,148,81.80000305,0.129999995,,0.330000013,,0.029999999,0.150000006,0.409999996,0.07,,0.180000007,0.029999999,0.49000001,2,0.25999999,0.560000002,1.0625
Džinn,224,0,0,0,32,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Džinn, long drink",53.09999847,5.400000095,0,0,4.5,92,,5.400000095,0,,5.400000095,5.400000095,,,,,,,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,0,0
"Energiajook, suhkruga",45,10.89999962,0.079999998,0.25,0,88.40000153,0.280000001,10.89999962,0,,0,,,,,,,,0,0,0,,0,0,0,0,0,84,3,13,3,0,0.02,0,0,0,,,,,0,0,0,0,,0,,0.025,0.569999993,0,8.5,,1.399999976,0.082999997,0,0,1.799999952,0,0.209999993
"Energiajook, suhkruta",4.519999981,0.699999988,0.079999998,0.25,0,98.30000305,0.620000005,0.699999988,,,0,,,,,,,,,,,,,,,,,84,3,13,3,0,0.02,0,0,0,,,,,,,,,,,,0.025,0.569999993,0,8.5,,,0.082999997,,,1.799999952,,0.209999993
"Faasan, nahaga, toores",174.5,0,9.300000191,22.70000076,0,67.80000305,1.299999952,0,0,0,0,0,0,0,0,0,0,8.199999809,2.700000048,4.300000191,1.200000048,0,2.200000048,0.699999988,0.800000012,0.100000001,71,40,243,12,20,214,1.200000048,1,0.07,0,8,16,,,53,53,0,1.399999976,,0.100000001,0,0.07,0.140000001,11.39999962,6.400000095,5,0.930000007,0.660000026,,6,0.769999981,5.300000191,0.100000001
"Faasan, nahata, toores",126.8000031,0,3.599999905,23.60000038,0,72.80000305,1.399999976,0,0,0,0,0,0,0,0,0,0,3,1.200000048,1.200000048,0.600000024,0,0.800000012,0.400000006,0.5,0.100000001,66,37,262,13,20,230,1.149999976,1,0.07,0,8,16,,,50,50,0,0.400000006,,0.059999999,0,0.079999998,0.150000006,12.30000019,6.800000191,5.5,0.959999979,0.74000001,,6,0.839999974,6,0.092500001
"Filotaigen, küpsetamata",285.5,57.90000153,1.899999976,8,0,28.70000076,1.100000024,60.29999924,2.400000095,55,2.980000019,0.129999995,0,2.450000048,0.239999995,0.159999996,,1.299999952,0.200000003,0.600000024,0.5,0,0.100000001,0,0.400000006,0.100000001,0,253,124,63,23,86,1.470000029,0.589999974,0.100000001,0.360000014,1,8.600000381,0.800000012,7.5,0,0,1,0,0,0.449999988,2,0.140000001,0.029999999,2.599999905,1.299999952,1.299999952,0.180000007,0.090000004,0.600000024,17,0,0,0.632499993
"Meriforell, värske",114.0999985,0,2.900000095,22,0,73.69999695,1.299999952,0,0,0,0,0,0,0,0,0,0,2.5,0.600000024,1,0.899999976,0,0.400000006,0.100000001,0.100000001,0.100000001,39,26,517,5,28,248,0.330000013,0.289999992,0,0,47,25,20,0,4,4,0,13,13,0.289999992,0,0.050000001,0.100000001,12,7.900000095,4.099999905,2,0.589999974,4.5,10,2.5,0,0.064999998
"Friikartulid, tüüp 'McDonald's'",290.3399963,36.09999847,13.89999962,3.460000038,0,39.79999924,1.299999952,39.59999847,3.5,35.70000076,0.349999994,0.280000001,0,0,0.050000001,0.02,0,13.88000011,1.289999962,7.869999886,4.71999979,0.119999997,0.800000012,0.899999976,3.900000095,0.300000012,0,272,560,17.10000038,32,132,0.850000024,0.439999998,0.119999997,0.219999999,7.800000191,1.299999952,,,0,0,0,0,0,1,25,0.330000013,0.039999999,3.599999905,2.799999952,0.800000012,0.639999986,0.519999981,1.299999952,13,0,7.699999809,0.680000007
"Frikadellid, segahakklihast, keedetud",180.3040009,5.054699898,11.32380009,14.2446003,0,62.94060135,0.932969987,5.651100159,0.596400023,4.145400047,0.819000006,0.216000006,0,0.164000005,0.211999997,0.226999998,0.015799999,9.350000381,4.349999905,5,1.5,,2.589999914,1.5,1.299999952,0.135000005,48.59999847,173,194,14.30000019,13.80000019,100,1.74000001,2.950000048,0.061000001,0.601999998,2.599999905,17,2.599999905,2,9.83880043,7.880000114,23.60000038,0.439999998,,0.409999996,0.189999998,0.082999997,0.072999999,0.129999995,2.900000095,0.129999995,0.280000001,0.200000003,0.129999995,2.700000048,0.959999979,0.204999998,0.432500005
"Fruktoos, pulber",366.7999878,91.69999695,0,0,0,8.300000191,0,91.69999695,0,0,91.69999695,0,0,0,0,91.69999695,0,0,0,0,0,0,0,0,0,0,0,0.100000001,0.300000012,0.100000001,0,0.100000001,0.07,0,0,0,5,0.5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
Granaatõun,61,11.80000019,0.200000003,1.299999952,0,80,0.699999988,15.19999981,3.400000095,0,11.80000019,0.200000003,0,0,6.400000095,5.199999809,0,0.059999999,0,0,0,0,0,0,0,0,0,2,240,12,11,29,0.699999988,0.400000006,0.170000002,0.129999995,,0.5,,,2.739000082,0,33,0,0,0.600000024,16,0.050000001,0.039999999,0.5,0.300000012,0.200000003,0.569999993,0.100000001,,38,0,13,0.005
Greip,33.90000153,6.800000191,0.100000001,0.800000012,0,89,0.300000012,8.100000381,1.299999952,0,6.800000191,2.400000095,0,0,2.099999905,2.299999952,0,0.079999998,0,0,0,0,0,0,0,0,0,3,200,23,9,20,0.100000001,0,0,0,0.100000001,0.200000003,0.100000001,3.099999905,1.411000013,0,17,0,0,0.300000012,0,0.050000001,0.02,0.400000006,0.300000012,0.100000001,0.280000001,0.029999999,1,26,0,36,0.0075
"Greip, koorega",23.10000038,4.599999905,0.100000001,0.5,0,60.5,0.200000003,5.5,0.899999976,0,4.599999905,1.600000024,0,0,1.399999976,1.600000024,0,0.07,0,0,0,0,0,0,0,0,0,2,140,16,6,14,0.100000001,0,0,0,0,0.109999999,0,1.5,0.912999988,0,11,0,0,0.200000003,0,0.029999999,0.01,0.300000012,0.200000003,0.100000001,0.189999998,0.02,0.699999988,18,0,24,0.005
Guajaav,35.09999847,5,0.5,0.800000012,0,84.69999695,0.5,8.699999809,3.700000048,0.100000001,4.900000095,0.5,0,0,2.099999905,2.299999952,0,0.400000006,0.200000003,0,0.200000003,0,0.100000001,0,0.200000003,0,0,5,230,13,12,25,0.400000006,0.200000003,0.100000001,0.100000001,,0.5,,,36.10499954,0,435,0,0,0.730000019,2.599999905,0.039999999,0.039999999,1.100000024,1,0.100000001,0.150000006,0.140000001,,49,0,230,0.0125
"Segahakkliha, sea-veise, toores, R 15%",207,0,15,18,0,60,0.75999999,0,0,0,0,0,0,0,0,0,,14.30000019,5.78000021,6.599999905,1.919999957,,3.450000048,2,1.679999948,0.170000002,66,75,220,8,14,120,2.099999905,3.900000095,0.057999998,0.01,2.5,23,3,1,10.48999977,8,30,0.600000024,,0.460000008,,0.25999999,0.189999998,9,5.5,,0.600000024,0.419999987,0,2.099999905,1.299999952,0,0.1875
"Seahakkliha, toores, R 17,4%",221.3999939,0,17.39999962,16.20000076,0,65,1,0,0,0,0,0,0,0,0,0,,16.60000038,7.510000229,7.150000095,1.919999957,,4.460000038,2.619999886,1.49000001,0.079999998,66,60,330,5,21,200,0.769999981,2.400000095,0,,0,0,0,0,,,,0.699999988,,0.400000006,,0.870000005,0.25,7.300000191,4.5,,,0.379999995,,4,0.649999976,0,0.150000006
"Seahakkliha, toores, R 20%",244,0,20,16,0,63,1,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,60,68,300,6,20,169,0.800000012,2.400000095,,,0,6,0,0,23,23,0,0.699999988,,0.400000006,,0.720000029,0.219999999,6.300000191,3.5,,,0.319999993,,7,0.600000024,0,0.170000002
